# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
1.000000000000000000000000000000e+01;8.387878579352794350398880851571e-01;8.484388242642715294294930572505e-01;1.460854172198187805875591038784e+00;2.000000000000000000000000000000e+00;1.493302842852136880225089043961e+00;1.990936681952604647705129536917e+00;1.735866006231984837171467006556e+00;0.000000000000000000000000000000e+00;4.510487821348664843994213935474e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.559566465844887915570549097311e-03;1.003919684955409050153285477336e-03;8.051325743633283441372250344159e-04;2.007839369910799018348335209794e-03;2.007839369910786007922265383741e-03
1.100000000000000000000000000000e+01;8.433428152295364688129097885394e-01;8.453577461401258208439912777976e-01;1.457104768534869254636987534468e+00;2.000000000000000000000000000000e+00;1.492333912954171948328507824044e+00;1.990038672386902574018563427671e+00;1.734285815721816614853878490976e+00;0.000000000000000000000000000000e+00;4.505042445947015977356087113037e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.562287331914240977662200471343e-03;1.004312497475295159338193329290e-03;8.066555286791557725575851911515e-04;2.008624994950641059338058980188e-03;2.008624994950582946101613757151e-03
1.200000000000000000000000000000e+01;8.478848538144894142476459819591e-01;8.422958338553629964451374689816e-01;1.453376216111423202548280642077e+00;2.000000000000000000000000000000e+00;1.491368887261582454328845415148e+00;1.989142151518084933314867157605e+00;1.732710288605165960262866065023e+00;0.000000000000000000000000000000e+00;4.499627580577823847754470598659e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.565000405340504201906481895890e-03;1.004705463694404105404189841977e-03;8.081678951152019467832343657676e-04;2.009410927388819052830104538998e-03;2.009410927388757470146707362346e-03
1.300000000000000000000000000000e+01;8.524140505337425288701069803210e-01;8.392529254926389681301657219592e-01;1.449668343450103424885355707374e+00;2.000000000000000000000000000000e+00;1.490407740649058343507249446702e+00;1.988247111629418473199848449440e+00;1.731139396409958397526906992425e+00;0.000000000000000000000000000000e+00;4.494243004587987087503075933625e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.567705775556503099837923898008e-03;1.005098583672875715497307957946e-03;8.096697791909369815513408674690e-04;2.010197167345856815445781506924e-03;2.010197167345814314720620075150e-03
1.400000000000000000000000000000e+01;8.569304815758627125177326888661e-01;8.362288608883737817123460445146e-01;1.445980980905867241403939260636e+00;2.000000000000000000000000000000e+00;1.489450448216402156376148013806e+00;1.987353545062135129484204298933e+00;1.729573110911612143780757833156e+00;0.000000000000000000000000000000e+00;4.488888499453183252886623311184e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.570403530892402902199855851961e-03;1.005491857470872585009202815343e-03;8.111612851907194776668319491364e-04;2.010983714941834941958287430452e-03;2.010983714941807186382671801539e-03
1.500000000000000000000000000000e+01;8.614342224815795256986916683672e-01;8.332234816095400731228437507525e-01;1.442313960642340298079489002703e+00;2.000000000000000000000000000000e+00;1.488496985285964413492365565617e+00;1.986461444214857374745974993857e+00;1.728011404130274986101767353830e+00;0.000000000000000000000000000000e+00;4.483563848752389531006345979591e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.573093758593717373869824704968e-03;1.005885285148581161779324233407e-03;8.126425161820193584366611716518e-04;2.011770570297192247538609066737e-03;2.011770570297165793005600420429e-03
1.600000000000000000000000000000e+01;8.659253481508981664660495880526e-01;8.302366309307990244192865247896e-01;1.438667116608099760810546285938e+00;2.000000000000000000000000000000e+00;1.487547327400096097704818021157e+00;1.985570801543035335257059159630e+00;1.726454248328084473129706566397e+00;0.000000000000000000000000000000e+00;4.478268838142611071341525619260e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.575776544836951465963781338075e-03;1.006278866766211095573613221177e-03;8.141135740318446167851362815782e-04;2.012557733532416986976798511932e-03;2.012557733532394435571610813440e-03
1.700000000000000000000000000000e+01;8.704039328501149697103755897842e-01;8.272681538120034705485750237131e-01;1.435040284513363406659891552408e+00;2.000000000000000000000000000000e+00;1.486601450318654649151994817657e+00;1.984681609558387460623407605453e+00;1.724901616006479176945731524029e+00;0.000000000000000000000000000000e+00;4.473003255334069561133247816542e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.578451974745543424580307423355e-03;1.006672602383996105446239965886e-03;8.155745594235399437144096168595e-04;2.013345204768081549151492737337e-03;2.013345204768069839768029893889e-03
1.800000000000000000000000000000e+01;8.748700502187379823837432013534e-01;8.243178968760555003214562930225e-01;1.431433301807032432151345346938e+00;2.000000000000000000000000000000e+00;1.485659330016537049701241812727e+00;1.983793860828351851566253571946e+00;1.723353479903544371865109496866e+00;0.000000000000000000000000000000e+00;4.467766890065721940329679373605e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.581120132404540768247813709024e-03;1.007066492062192895537431347464e-03;8.170255718726009011923516744957e-04;2.014132984124337652498404338530e-03;2.014132984124313800050609657433e-03
1.900000000000000000000000000000e+01;8.793237732763121705659159488278e-01;8.213857083870976794059970416129e-01;1.427846007654081095239462229074e+00;2.000000000000000000000000000000e+00;1.484720942681245325900363241090e+00;1.982907547975539808149392229097e+00;1.721809812991387467207005101955e+00;0.000000000000000000000000000000e+00;4.462559534081127687529799707988e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.583781100878465554482321664409e-03;1.007460535861082022435208926936e-03;8.184667097440915216333134907245e-04;2.014921071722188330999081529171e-03;2.014921071722165345913024836477e-03
