# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
2.500000000000000000000000000000e+01;9.099181262228122069046776232426e-01;8.050470794584297928864202731347e-01;1.407246498241043530796900995483e+00;2.000000000000000000000000000000e+00;1.477160793690134532596403005300e+00;1.977595118829885034728022219497e+00;1.711612758893418906325223360909e+00;0.000000000000000000000000000000e+00;4.436265972134199636785212295109e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.828600101388652914881360889154e-04;1.250000000000000026020852139652e-04;1.031214829440492305968543607086e-04;2.500000000001527692902736355052e-04;2.499999999999543602927087881937e-04
2.600000000000000000000000000000e+01;9.142777917430247036634227697505e-01;8.022184521712660831838093145052e-01;1.403776790277988295585487321659e+00;2.000000000000000000000000000000e+00;1.476256470725201719318420146010e+00;1.976717805036652952921372161654e+00;1.710103098093341600360872689635e+00;0.000000000000000000000000000000e+00;4.431200342284380357289752527805e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.793450963185663661961233295017e-04;1.299999999999999886115403802123e-04;1.073767534141817603073401632408e-04;2.600000000001854842147930302332e-04;2.599999999999774800280016862075e-04
2.700000000000000000000000000000e+01;9.186254477434103726807279599598e-01;7.994070173621381503181737571140e-01;1.400325803104784938568627694622e+00;2.000000000000000000000000000000e+00;1.475355731510847423493260066607e+00;1.975841881775225017392472182109e+00;1.708597729628710260030288736743e+00;0.000000000000000000000000000000e+00;4.426162716019005891922299955610e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.757443287396060338859116178867e-04;1.350000000000000017260498585969e-04;1.116407119792200416464114653969e-04;2.700000000000777949579755521370e-04;2.700000000000139896601247802010e-04
2.800000000000000000000000000000e+01;9.229611636145870212644126695523e-01;7.966126333880749754712269350421e-01;1.396893386811303816585905224201e+00;2.000000000000000000000000000000e+00;1.474458553578865460664815145719e+00;1.974967342008239201689434594300e+00;1.707096628010354555371463902702e+00;0.000000000000000000000000000000e+00;4.421152895649547824585834376876e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.720576318134325464331846333721e-04;1.400000000000000148405593369816e-04;1.159132234161538223564044680636e-04;2.800000000000880126874158726480e-04;2.800000000000278394668429271519e-04
2.900000000000000000000000000000e+01;9.272850081713825964868647133699e-01;7.938351601008126756653382471995e-01;1.393479393047491576851371064549e+00;2.000000000000000000000000000000e+00;1.473564914657028879219069494866e+00;1.974094178749945971418355838978e+00;1.705599767964766977357271571236e+00;0.000000000000000000000000000000e+00;4.416170685347823926178434383871e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.682849308672445956015784052084e-04;1.450000000000000008500145032286e-04;1.201941543405559418341427280197e-04;2.900000000001172039548746894866e-04;2.900000000000176741954405201795e-04
3.000000000000000000000000000000e+01;9.315970496590053606666970154038e-01;7.910744588275246957920217028004e-01;1.390083675003420671245635276136e+00;2.000000000000000000000000000000e+00;1.472674792666910148497549926105e+00;1.973222385065714457041963214579e+00;1.704107124431758268912062703748e+00;0.000000000000000000000000000000e+00;4.411215891124182380579610285309e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.644261521306337796473340251424e-04;1.500000000000000139645239816133e-04;1.244833731798603525513929879409e-04;2.999999999999834938459175592840e-04;2.999999999999739528667996868450e-04
3.100000000000000000000000000000e+01;9.358973557591323544357919672620e-01;7.883303923518327760433521689265e-01;1.386706087389643293761309905676e+00;2.000000000000000000000000000000e+00;1.471788165721727992263367923442e+00;1.972351954071541957347335483064e+00;1.702618672562138169013223887305e+00;0.000000000000000000000000000000e+00;4.406288320806016692299245107733e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.604812227223657393818112559813e-04;1.549999999999999999739791478603e-04;1.287807501471296045460895873802e-04;3.100000000000543726869084437681e-04;3.100000000000422296225766061184e-04
3.200000000000000000000000000000e+01;9.401859935959141489902890498342e-01;7.856028248951187897830550355138e-01;1.383346486417851517458643684222e+00;2.000000000000000000000000000000e+00;1.470905012124227972947210218990e+00;1.971482878933567883805721976387e+00;1.701134387715431461884918462601e+00;0.000000000000000000000000000000e+00;4.401387784016615070496747375017e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.564500706377521844180067400742e-04;1.600000000000000130884886262450e-04;1.330861572146298840279426967115e-04;3.200000000000489779050649730152e-04;3.199999999999371424509730932328e-04
3.300000000000000000000000000000e+01;9.444630297419102094025333826721e-01;7.828916220981103624154684439418e-01;1.380004729781811656508239138930e+00;2.000000000000000000000000000000e+00;1.470025310364587500799871122581e+00;1.970615152867594144225904528867e+00;1.699654245457619339276789105497e+00;0.000000000000000000000000000000e+00;4.396514092154246169073805727834e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.523326247356644821788485000269e-04;1.649999999999999990979437924921e-04;1.373994680889253038307690202302e-04;3.300000000001372581909242498455e-04;3.300000000000588703738535478749e-04
3.400000000000000000000000000000e+01;9.487285302239398809831527614733e-01;7.801966510027462664567110550706e-01;1.376680676638600386851862822368e+00;2.000000000000000000000000000000e+00;1.469149039118346600218956155004e+00;1.969748769138614852280966260878e+00;1.698178221558910738764325287775e+00;0.000000000000000000000000000000e+00;4.391667058371585266249303991515e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.481288147264253964550950737333e-04;1.700000000000000122124532708767e-04;1.417205581849699167189954307489e-04;3.400000000001145161743210110217e-04;3.400000000000086980422864257889e-04
3.500000000000000000000000000000e+01;9.529825605288567702544355597638e-01;7.775177800343237022318021445244e-01;1.373374187590116424217967505683e+00;2.000000000000000000000000000000e+00;1.468276177244375313435398311412e+00;1.968883721060345148856640662416e+00;1.696706291991549875319833518006e+00;0.000000000000000000000000000000e+00;4.386846497555397942150201551215e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.438385711592343479785227611245e-04;1.750000000000000253269627492614e-04;1.460493046022029277331011343222e-04;3.500000000001056519455255866546e-04;3.500000000000743185027407555765e-04
3.600000000000000000000000000000e+01;9.572251856092558464084163460939e-01;7.748548789839027062242848842288e-01;1.370085124664865983135086935363e+00;2.000000000000000000000000000000e+00;1.467406703782856425277714151889e+00;1.968020001994762457897536478413e+00;1.695238432927643312808640985168e+00;0.000000000000000000000000000000e+00;4.382052226306508359472691171987e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.394618254103676627080055094865e-04;1.800000000000000113364179155084e-04;1.503855860996693985173755514495e-04;3.600000000001800002334684247529e-04;3.600000000000537991005911120368e-04
