# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
3.500000000000000000000000000000e+01;7.037835122709107382732440783002e-02;4.407453830773469527493091391079e-02;2.877791124000000032821799944571e-04;1.495029257010896062141114271071e+00;1.296979320160317250554271595320e+00;8.000000000000000444089209850063e-01;1.102726842294724368676028802838e-01;2.191017663940875333239421962617e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.828404598114275589901614460508e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
3.600000000000000000000000000000e+01;7.122534088615323222271058511978e-02;4.417682406743933531956258775608e-02;3.015807496137118924595110769360e-04;1.491753621500677029487746949599e+00;1.293739287675743865335675764072e+00;8.000000000000000444089209850063e-01;1.102102829011521734070555567087e-01;2.205757575749325415798152150160e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.872168217964971366007800868125e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
3.700000000000000000000000000000e+01;7.208078353268841664824861936722e-02;4.427685525751468703647972802173e-02;3.155298761510835900065408132775e-04;1.488463174648900322338818114076e+00;1.290480987910023635834022570634e+00;8.000000000000000444089209850063e-01;1.101471372895255901314115476453e-01;2.220537283023726708719447486828e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.915920393717824240370495303409e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
3.800000000000000000000000000000e+01;7.294469267147069002632520096085e-02;4.437459720950838459874177033271e-02;3.296254823562653926520560343505e-04;1.485157986675184504932190066029e+00;1.287204487671086639011264196597e+00;8.000000000000000444089209850063e-01;1.100832447443321343572009141099e-01;2.235355517371665108605771621342e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.959650035170992492510738669509e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
3.900000000000000000000000000000e+01;7.381707981027282872155126369762e-02;4.447001578907702756815467637352e-02;3.438664907890490673135486243694e-04;1.481838130575501510932667770248e+00;1.283909858106549783940408815397e+00;8.000000000000000444089209850063e-01;1.100186027513777309305709195542e-01;2.250210995698870893727550068775e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.003345925374176616801796813050e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.000000000000000000000000000000e+01;7.469795442600807300337351080088e-02;4.456307742276700845085457558525e-02;3.582517560180158459545718407924e-04;1.478503682120234641317324530974e+00;1.280597174728187237491283667623e+00;8.000000000000000444089209850063e-01;1.099532089354038066897345515827e-01;2.265102420886428314511507053908e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.046996727622946450576499333174e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.100000000000000000000000000000e+01;7.558732393192299503503761570755e-02;4.465374912460329248631296650274e-02;3.727800644759979103136371403338e-04;1.475154719850574558392963808728e+00;1.277266517433772063938590690668e+00;8.000000000000000444089209850063e-01;1.098870610629006927538853233273e-01;2.280028482489666191712629483845e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.090590992702175948637563496213e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.200000000000000000000000000000e+01;7.648519364589670410659039134771e-02;4.474199852244858943706162790477e-02;3.874501343790732023689149521317e-04;1.471791325073236178511137950409e+00;1.273917970526226906002875693957e+00;8.000000000000000444089209850063e-01;1.098201570448623376474728274843e-01;2.294987857458211707312178972984e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.134117166371638578750702386344e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.300000000000000000000000000000e+01;7.739156675990183087421314667154e-02;4.482779388409478815713526955733e-02;4.022606157102226486811658023868e-04;1.468413581853480920358379080426e+00;1.270551622730021312790427145956e+00;8.000000000000000444089209850063e-01;1.097524949394778071010136955010e-01;2.309979210876607173819063945075e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.177563597086024167488044200880e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.400000000000000000000000000000e+01;7.830644431068206623436367408431e-02;4.491110414304859410616899140223e-02;4.172100902686737191465971008597e-04;1.465021577006430542056136800966e+00;1.267167567204751099652071388846e+00;8.000000000000000444089209850063e-01;1.096840729547560455703347770395e-01;2.325001196724851837416281341575e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.220918543941122352131101180817e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.500000000000000000000000000000e+01;7.922982515170062800535788483103e-02;4.499189892397326834272419660010e-02;4.322970717858693476612352846189e-04;1.461615400086662797107805999985e+00;1.263765901555848447657126598642e+00;8.000000000000000444089209850063e-01;1.096148894510801108381770063716e-01;2.340052458658189570711583016305e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.264170184837219839193989123771e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.600000000000000000000000000000e+01;8.016170592641039260861646198464e-02;4.507014856774839428599221946570e-02;4.475200061088821425897554817652e-04;1.458195143376077140828783740290e+00;1.260346727842366565397469457821e+00;8.000000000000000444089209850063e-01;1.095449429436874955179348489764e-01;2.355131630805435555275906267525e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.307306624850226055810364922394e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
4.700000000000000000000000000000e+01;8.110208104290039798911493562628e-02;4.514582415610941812378342774537e-02;4.628772714519806242249033712000e-04;1.454760901870025380233641953964e+00;1.256910152581775408364705981512e+00;8.000000000000000444089209850063e-01;1.094742321050713035335277822924e-01;2.370237338585047884298440123985e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.350315904800267930926938042546e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
