# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
1.100000000000000000000000000000e+01;4.928613686876126553926269480144e-02;4.042428202219799926453447369568e-02;3.798569168485523505317258408098e-05;1.580921014763633669630848999077e+00;1.380509168166622169238166861760e+00;7.996177995801883042759072850458e-01;1.116843713494928558294105869209e-01;0.000000000000000000000000000000e+00;5.251219390704958461715129436342e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;9.973560037242600677243937971742e-10;5.002651188154717543099536669615e-01;4.997348811845283567123487955541e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.200000000000000000000000000000e+01;4.998986264277077706807972390379e-02;4.042400670007918750403774765800e-02;3.798373845999359938070683018196e-05;1.580921014763633669630848999077e+00;1.380509003826560610050933064485e+00;7.995758098952451264906926553522e-01;1.116784804709364115060665767487e-01;2.058009768377470124350869795649e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.159650033285963564464934871800e-05;5.002651188154717543099536669615e-01;4.997348811845283567123487955541e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.300000000000000000000000000000e+01;4.998987349134330349098576107281e-02;4.059577271459718916801762134128e-02;2.710384082173014088333606874670e-05;1.992066783125674866994359035743e+00;1.377399448622000255326724982297e+00;7.995758098952451264906926553522e-01;1.116292342002090376418266259861e-01;0.000000000000000000000000000000e+00;3.748937732878104703640453898572e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.080530578125301775606592896847e-10;5.002838535649968276786125898070e-01;4.997161464350032278325386414508e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.400000000000000000000000000000e+01;5.055454982110585415711057066801e-02;4.059557423951880295032168532998e-02;2.710286448599788186077097495996e-05;1.991995901943890867613617956522e+00;1.377399332313635538227458710026e+00;7.995458342960048980785359162837e-01;1.116250311843473286277372835684e-01;1.643947222741120456346308742468e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.336849076331895659923085228904e-05;5.002838535649968276786125898070e-01;4.997161464350032278325386414508e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.500000000000000000000000000000e+01;5.055455532619584912978893953550e-02;4.073063598472568408448424293056e-02;1.833883778032684196482304805897e-05;1.994539648810341070372942340327e+00;1.374917219211284402646811031445e+00;7.995458342960048980785359162837e-01;1.115854135907461408550034320797e-01;0.000000000000000000000000000000e+00;2.537674978948303635838297520610e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.326900488906364308015563908117e-10;5.002965347366107318194394792954e-01;4.997034652633893792028629832203e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.600000000000000000000000000000e+01;5.127589296402691732001954960651e-02;4.073050061830999629686189678068e-02;1.833840513787250909617798644291e-05;1.575073861826574939115630513697e+00;1.374917141055191249776612494315e+00;7.995255444214228734978178181336e-01;1.115825699414443594736923159871e-01;2.089776243178383466347902697180e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.255881628245335515647873592116e-05;5.002965347366107318194394792954e-01;4.997034652633893792028629832203e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.700000000000000000000000000000e+01;5.127589418157292577848949122199e-02;4.089952098441874961398667664980e-02;7.100847985349321208475847910790e-06;1.989580793715238549168589088367e+00;1.371762896782136476048208351131e+00;7.995255444214228734978178181336e-01;1.115318315429218165579783317298e-01;0.000000000000000000000000000000e+00;9.830916754063142678934754392639e-06;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.490392271361306291906058799811e-11;5.003014472797794320868547401915e-01;4.996985527202206234242964910663e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.800000000000000000000000000000e+01;5.200718716902953675518261889010e-02;4.089946805098663290545246695729e-02;7.100793884087059845700018456682e-06;1.571782309888878570447445781610e+00;1.371762866798341473639766263659e+00;7.995176843523528198431904456811e-01;1.115307305829695699861403568320e-01;2.107675324289633167484936393521e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.310139979381836421515328261478e-05;5.003014472797794320868547401915e-01;4.996985527202206234242964910663e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.900000000000000000000000000000e+01;5.200718699557471680350317910779e-02;4.106687652377646879919836919726e-02;4.343288779439186206993150918265e-06;1.992117375774792753517772325722e+00;1.368583563803975833295112352062e+00;8.004823156476473799969539868471e-01;1.116136475946601924746914846764e-01;0.000000000000000000000000000000e+00;6.001566793576173396889197886317e-06;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.303326885679710384649175079701e-11;5.002984446872267287886870690272e-01;4.997015553127734377447666247463e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.000000000000000000000000000000e+01;5.274852711954172712616184526269e-02;4.106690917499257464928774652435e-02;4.343274297673762858809642928293e-06;1.568469503099170880844326347869e+00;1.368583581941597238085250864970e+00;8.004775114995629214931227579655e-01;1.116129804054565022308764810077e-01;2.125700642151248740546742865831e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.364797760222436230452547345493e-05;5.002984446872267287886870690272e-01;4.997015553127734377447666247463e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
