# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
2.000000000000000000000000000000e+01;4.526623485860598039565161343489e-02;nan;9.892345128668025432301658117495e-05;nan;nan;7.978134695316363433903461555019e-01;1.117089586192819006260634751015e-01;nan;1.370329078096079074289281862775e-04;nan;1.000000000000000000000000000000e+00;6.777884090187947830894710211057e-09;5.014349107299895802469791306066e-01;4.985650892700105307753233319090e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.100000000000000000000000000000e+01;4.526635506763272004393527936372e-02;nan;9.890984116698174253255737564672e-05;nan;nan;7.977041428320168492405173310544e-01;1.116935722832124860959268630722e-01;nan;1.370517094524339334928042521966e-04;nan;1.000000000000000000000000000000e+00;6.777881406801784373736734717148e-09;5.015032399277473684762185257568e-01;4.984967600722527425460839367588e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.200000000000000000000000000000e+01;4.526647527663157921651304604893e-02;nan;9.889623106164216036900738160398e-05;nan;nan;7.975948161156043436648133138078e-01;1.116781859664464776615844243679e-01;nan;1.370705162544566784853933283372e-04;nan;1.000000000000000000000000000000e+00;6.777878723619662385457827112828e-09;5.015715691360016492694740009028e-01;4.984284308639984617528284616128e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.300000000000000000000000000000e+01;4.526659548560252321891539395438e-02;nan;9.888262097065034054998999835107e-05;nan;nan;7.974854893823974943956045535742e-01;1.116627996689837504229458886584e-01;nan;1.370893282177848614220710965483e-04;nan;1.000000000000000000000000000000e+00;6.777876040640150843598270660219e-09;5.016398983547534218274677186855e-01;4.983601016452466891948347438301e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.400000000000000000000000000000e+01;4.526671569454550347888499572946e-02;nan;9.886901089401509221815667061151e-05;nan;nan;7.973761626323945250760516501032e-01;1.116474133908238741685892136957e-01;nan;1.371081453445565018819246594362e-04;nan;1.000000000000000000000000000000e+00;6.777873357864583163305500839932e-09;5.017082275840036853509218417457e-01;4.982917724159964256713806207699e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.500000000000000000000000000000e+01;4.526683590346061714093650607538e-02;nan;9.885540083174189059447845018269e-05;nan;nan;7.972668358655941034385250532068e-01;1.116320271319665019538192041182e-01;nan;1.371269676369060415768719174423e-04;nan;1.000000000000000000000000000000e+00;6.777870675293820439597185353777e-09;5.017765568237535500628609952400e-01;4.982234431762466164705926985334e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.600000000000000000000000000000e+01;4.526695611234789196064554062104e-02;nan;9.884179078381281923805501410385e-05;nan;nan;7.971575090819942310815804376034e-01;1.116166408924116060230602442971e-01;nan;1.371457950969362635153941942789e-04;nan;1.000000000000000000000000000000e+00;6.777867992925520096978574027379e-09;5.018448860740039041417048792937e-01;4.981551139259962623917488144798e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.700000000000000000000000000000e+01;4.526707632120723079349744466526e-02;nan;9.882818075023235048284786508077e-05;nan;nan;7.970481822815937977821931781364e-01;1.116012546721588671871927544998e-01;nan;1.371646277267824496660930666536e-04;nan;1.000000000000000000000000000000e+00;6.777865310760394337957075017566e-09;5.019132153347557467881756565475e-01;4.980867846652443642341268059681e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.800000000000000000000000000000e+01;4.526719653003866139506783383695e-02;nan;9.881457073100999820292056341486e-05;nan;nan;7.969388554643908051389189495239e-01;1.115858684712078552347946924783e-01;nan;1.371834655285883658795698103461e-04;nan;1.000000000000000000000000000000e+00;6.777862628799883283979143145520e-09;5.019815446060100772029954896425e-01;4.980184553939899783081557416153e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.900000000000000000000000000000e+01;4.526731673884222539872013157947e-02;nan;9.880096072613673641518716728172e-05;nan;nan;7.968295286303836988395232765470e-01;1.115704822895582926101099019434e-01;nan;1.372023085044728684615128466717e-04;nan;1.000000000000000000000000000000e+00;6.777859947042860315050481187548e-09;5.020498738877680056091890037351e-01;4.979501261122321054131134587806e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+01;4.526743694761793668224214570728e-02;nan;9.878735073561069487090013918618e-05;nan;nan;7.967202017795711466163766090176e-01;1.115550961272100405352603047504e-01;nan;1.372211566565657641595527005407e-04;nan;1.000000000000000000000000000000e+00;6.777857265489174057118991939585e-09;5.021182031800304201851758989505e-01;4.978817968199696908371265635651e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.100000000000000000000000000000e+01;4.526755715636569810111922151918e-02;nan;9.877374075943237501356425367405e-05;nan;nan;7.966108749119512610903370841697e-01;1.115397099841628214544897446103e-01;nan;1.372400099870016302108788330827e-04;nan;1.000000000000000000000000000000e+00;6.777854584139004835558211961664e-09;5.021865324827983201316783379298e-01;4.978134675172017353794728933281e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.200000000000000000000000000000e+01;4.526767736508567618880505278867e-02;nan;9.876013079760773995512818101972e-05;nan;nan;7.965015480275225989714726892998e-01;1.115243238604162606675274105328e-01;nan;1.372588684979236903650062773252e-04;nan;1.000000000000000000000000000000e+00;6.777851902993291500363388940196e-09;5.022548617960727046494184833136e-01;4.977451382039272953505815166864e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.300000000000000000000000000000e+01;4.526779757377769053405813792779e-02;nan;9.874652085012220717637199118855e-05;nan;nan;7.963922211262834949252464866731e-01;1.115089377559702332742830321877e-01;nan;1.372777321914477109514318708960e-04;nan;1.000000000000000000000000000000e+00;6.777849222050142289473614100890e-09;5.023231911198546839614209602587e-01;4.976768088801453715497302709991e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.400000000000000000000000000000e+01;4.526791778244190073143826680280e-02;nan;9.873291091698745895570421549081e-05;nan;nan;7.962828942082322836171215385548e-01;1.114935516708241702854564891823e-01;nan;1.372966010697275680060153169038e-04;nan;1.000000000000000000000000000000e+00;6.777846541311287664730348377640e-09;5.023915204541451462461054688902e-01;4.976084795458549092650457623677e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.500000000000000000000000000000e+01;4.526803799107825820868811206310e-02;nan;9.871930099819762704886627613377e-05;nan;nan;7.961735672733676327794682947570e-01;1.114781656049781966011380518466e-01;nan;1.373154751348930411713328281209e-04;nan;1.000000000000000000000000000000e+00;6.777843860776013769264958507563e-09;5.024598497989450907041941718489e-01;4.975401502010549648069570594089e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.600000000000000000000000000000e+01;4.526815819968670745465644245087e-02;nan;9.870569109374645018831206932930e-05;nan;nan;7.960642403216877660554473550292e-01;1.114627795584317293542397919737e-01;nan;1.373343543890754550780564091639e-04;nan;1.000000000000000000000000000000e+00;6.777841180443594338499622932361e-09;5.025281791542556275587116942916e-01;4.974718208457444279524395369663e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.700000000000000000000000000000e+01;4.526827840826729704160058531670e-02;nan;9.869208120364233094087835773678e-05;nan;nan;7.959549133531909070882193191210e-01;1.114473935311846020113080157898e-01;nan;1.373532388344272762992215319855e-04;nan;1.000000000000000000000000000000e+00;6.777838500315289168507259913183e-09;5.025965085200776449880777363433e-01;4.974034914799224105230734949146e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.800000000000000000000000000000e+01;4.526839861682006860288396410397e-02;nan;9.867847132788147459896144209068e-05;nan;nan;7.958455863678757236101546368445e-01;1.114320075232365647721621826349e-01;nan;1.373721284730850607409824437610e-04;nan;1.000000000000000000000000000000e+00;6.777835820390687150523430595274e-09;5.026648378964121421930144606449e-01;4.973351621035878578069855393551e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
