# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
1.000000000000000000000000000000e+01;5.290407384728403050733192003463e-02;4.110476650843451762451508102458e-02;6.747491573369935723841761543440e-06;1.567777912468814482949142075086e+00;1.367921070456786569735641023726e+00;8.000000000000000444089209850063e-01;1.115358217673999563501752163575e-01;2.129629702339326524640483739859e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;4.376896583204245442036417479414e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.100000000000000000000000000000e+01;5.365778508476985730890618242483e-02;4.127019203171890249226549940431e-02;1.843909605348133511765196246301e-05;1.564439126059749440855739521794e+00;1.364711114959134441448895813664e+00;8.000000000000000444089209850063e-01;1.114831586051586581609385007141e-01;2.147803682053188445433278275232e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.432013520238400644968984609662e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.200000000000000000000000000000e+01;5.442173730433898237723866486704e-02;4.143387460161841728822906816276e-02;3.033430068368798840708344677353e-05;1.561079017944450253452259858022e+00;1.361475921502870445323196690879e+00;8.000000000000000444089209850063e-01;1.114296293453299335762807231731e-01;2.166098423992818700761775474462e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.487492523724087199136351111761e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.300000000000000000000000000000e+01;5.519601539084487834552206209082e-02;4.159575437282821142037647632606e-02;4.243389611312739224772971891042e-05;1.557697567143952355195324344095e+00;1.358215420755077396108845277922e+00;8.000000000000000444089209850063e-01;1.113752256674458707141894819870e-01;2.184513318923444850916393278339e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.543323971905567843550949325149e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.400000000000000000000000000000e+01;5.598070283226336263382449942583e-02;4.175577128251443947970500403244e-02;5.473859464686430475154066410681e-05;1.554294756061672000413409477915e+00;1.354929547989356830584029012243e+00;8.000000000000000444089209850063e-01;1.113199393232051082058831070754e-01;2.203047722669310756055116584662e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.599497841612202751662014099665e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.500000000000000000000000000000e+01;5.677588164024319206113489144627e-02;4.191386508944539013299390717293e-02;6.724902786866393923984053238030e-05;1.550870570538973369778545929876e+00;1.351618243209308012353631056612e+00;8.000000000000000444089209850063e-01;1.112637621420472233690901475711e-01;2.221700956170951941209823488066e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.656003707302054466215385231109e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.600000000000000000000000000000e+01;5.758163226985110738631590265868e-02;4.206997541425056691410944154086e-02;7.996574429114467808844823881742e-05;1.547424999909509324425016529858e+00;1.348281451271400310787385024014e+00;8.000000000000000444089209850063e-01;1.112066860368040033257841514569e-01;2.240472305582288502917576167306e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.712830740607809121636706528591e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.700000000000000000000000000000e+01;5.839803353859306100925863347584e-02;4.222404178077679426372981197346e-02;9.288920703781110093343043043745e-05;1.543958037052246545783873443725e+00;1.344919122007048439826348840143e+00;8.000000000000000444089209850063e-01;1.111487030094225197940360772009e-01;2.259361022408544299178156933294e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.769967710401848225544932380338e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.800000000000000000000000000000e+01;5.922516254479519987041769013558e-02;4.237600365850850703264285357363e-02;1.060197915615648323398034769127e-04;1.540469678443096235298526153201e+00;1.341531210343762881009865850501e+00;8.000000000000000444089209850063e-01;1.110898051567570515851812729125e-01;2.278366323685853279262802928429e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.827402983396715736071763691584e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.900000000000000000000000000000e+01;6.006309458543276913466968380817e-02;4.252580050601476036042924988578e-02;1.193577834043572298387825281196e-04;1.536959924205072436365071553155e+00;1.338117676425189417344085995865e+00;8.000000000000000444089209850063e-01;1.110299846764229991791239626764e-01;2.297487392203429856091245753191e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.885124525296357809924646664612e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
